record_id,product,district,supplier,stock_date,opening_stock,quantity_received,quantity_dispensed,lead_time_days,stockout_flag
REC7031,ORS Packets,Madurai,Supplier-C,2025-01-12,37,190,169,15,1
REC7032,Iron Tablets,Vellore,Supplier-B,2025-01-13,134,166,80,10,1
REC7033,Iron Tablets,Vellore,Supplier-D,2025-01-13,400,57,165,2,0
REC7034,Metformin,Trichy,Supplier-C,2025-01-13,353,296,349,12,0
REC7035,Iron Tablets,Dindigul,Supplier-B,2025-01-14,94,198,129,11,0
REC7036,ORS Packets,Trichy,Supplier-A,2025-01-14,96,240,155,12,0
REC7037,Cough Syrup,Chennai,Supplier-A,2025-01-14,36,201,104,4,1
REC7038,Antiseptic,Vellore,Supplier-D,2025-01-15,213,161,301,12,0
REC7039,Cough Syrup,Chennai,Supplier-B,2025-01-15,5,62,117,15,1
REC7040,Insulin,Erode,Supplier-A,2025-01-16,363,34,102,15,1
REC7041,Insulin,Salem,Supplier-D,2025-01-16,349,229,101,15,0
REC7042,Amoxicillin,Madurai,Supplier-D,2025-01-16,99,108,26,11,0
REC7043,Cough Syrup,Salem,Supplier-B,2025-01-17,130,267,12,6,0
REC7044,Amoxicillin,Trichy,Supplier-D,2025-01-17,490,282,95,2,1
REC7045,Amoxicillin,Coimbatore,Supplier-B,2025-01-17,449,124,317,7,0
REC7046,Paracetamol,Trichy,Supplier-C,2025-01-18,268,116,107,17,0
REC7047,Antiseptic,Coimbatore,Supplier-D,2025-01-18,476,266,269,12,0
REC7048,Iron Tablets,Vellore,Supplier-B,2025-01-19,324,31,249,9,0
REC7049,Amoxicillin,Madurai,Supplier-B,2025-01-19,4,147,97,11,0
REC7050,ORS Packets,Salem,Supplier-C,2025-01-19,332,99,146,19,0
REC7051,ORS Packets,Dindigul,Supplier-A,2025-01-20,17,197,81,13,0
REC7052,Cough Syrup,Vellore,Supplier-B,2025-01-20,92,42,58,14,0
REC7053,Metformin,Trichy,Supplier-B,2025-01-20,227,182,249,9,0
REC7054,Metformin,Erode,Supplier-B,2025-01-21,73,74,18,5,0
REC7055,ORS Packets,Dindigul,Supplier-D,2025-01-21,254,182,89,18,0
REC7056,Antiseptic,Trichy,Supplier-C,2025-01-22,450,68,116,9,0
REC7057,Insulin,Madurai,Supplier-A,2025-01-22,306,48,148,9,0
REC7058,Paracetamol,Madurai,Supplier-B,2025-01-22,356,108,128,18,0
REC7059,Insulin,Chennai,Supplier-D,2025-01-23,25,37,307,13,1
REC7060,Antiseptic,Madurai,Supplier-C,2025-01-23,53,119,66,19,0
REC7061,ORS Packets,Salem,Supplier-A,2025-01-23,88,3,249,15,1
REC7062,Amoxicillin,Trichy,Supplier-B,2025-01-24,337,196,342,15,0
REC7063,Insulin,Dindigul,Supplier-A,2025-01-24,450,35,61,11,0
REC7064,ORS Packets,Dindigul,Supplier-C,2025-01-25,205,176,33,8,1
REC7065,Metformin,Dindigul,Supplier-A,2025-01-25,58,129,63,5,0
REC7066,ORS Packets,Erode,Supplier-B,2025-01-25,429,158,64,18,0
REC7067,Antiseptic,Vellore,Supplier-C,2025-01-26,354,220,286,10,0
REC7068,Iron Tablets,Coimbatore,Supplier-D,2025-01-26,19,260,110,13,0
REC7069,Amoxicillin,Chennai,Supplier-A,2025-01-26,35,181,182,18,0
REC7070,Amoxicillin,Trichy,Supplier-C,2025-01-27,23,71,160,13,0
REC7071,ORS Packets,Salem,Supplier-B,2025-01-27,190,123,328,19,1
REC7072,Amoxicillin,Dindigul,Supplier-C,2025-01-28,65,294,329,5,0
REC7073,Insulin,Dindigul,Supplier-A,2025-01-28,443,98,73,17,0
REC7074,Antiseptic,Salem,Supplier-C,2025-01-28,89,30,199,8,1
REC7075,Insulin,Trichy,Supplier-B,2025-01-29,402,225,306,2,0
REC7076,ORS Packets,Salem,Supplier-A,2025-01-29,97,278,226,14,1
REC7077,Paracetamol,Trichy,Supplier-B,2025-01-29,79,241,278,9,0
REC7078,Paracetamol,Salem,Supplier-B,2025-01-30,348,123,161,14,0
REC7079,Amoxicillin,Dindigul,Supplier-B,2025-01-30,170,112,177,2,0
REC7080,Metformin,Salem,Supplier-C,2025-01-31,15,41,306,8,0
REC7081,Amoxicillin,Dindigul,Supplier-B,2025-01-31,343,10,316,6,0
REC7082,Paracetamol,Trichy,Supplier-D,2025-01-31,73,14,341,7,0
REC7083,ORS Packets,Vellore,Supplier-B,2025-02-01,413,122,15,2,0
REC7084,Paracetamol,Salem,Supplier-C,2025-02-01,80,41,135,7,0
REC7085,Iron Tablets,Chennai,Supplier-B,2025-02-01,33,226,48,5,1
REC7086,Antiseptic,Dindigul,Supplier-C,2025-02-02,16,10,54,11,0
REC7087,ORS Packets,Trichy,Supplier-D,2025-02-02,270,58,315,2,0
REC7088,ORS Packets,Madurai,Supplier-C,2025-02-03,286,39,322,6,0
REC7089,Metformin,Erode,Supplier-A,2025-02-03,80,95,332,7,0
REC7090,Paracetamol,Vellore,Supplier-D,2025-02-03,453,64,290,18,1
REC7091,Cough Syrup,Chennai,Supplier-A,2025-02-04,262,151,279,17,0
REC7092,Antiseptic,Vellore,Supplier-A,2025-02-04,259,68,330,7,0
REC7093,Paracetamol,Vellore,Supplier-C,2025-02-04,346,275,264,6,1
REC7094,Metformin,Madurai,Supplier-D,2025-02-05,36,282,44,8,0
REC7095,ORS Packets,Vellore,Supplier-C,2025-02-05,275,144,56,14,0
REC7096,Metformin,Salem,Supplier-B,2025-02-06,303,181,183,9,0
REC7097,ORS Packets,Coimbatore,Supplier-C,2025-02-06,459,134,298,14,1
REC7098,Metformin,Trichy,Supplier-A,2025-02-06,324,107,319,3,0
REC7099,Insulin,Chennai,Supplier-C,2025-02-07,411,48,233,11,0
REC7100,Paracetamol,Coimbatore,Supplier-D,2025-02-07,330,48,289,18,0
REC7101,ORS Packets,Chennai,Supplier-D,2025-02-07,322,191,19,16,0
REC7102,Metformin,Trichy,Supplier-D,2025-02-08,215,14,299,6,0
REC7103,ORS Packets,Vellore,Supplier-B,2025-02-08,257,10,220,6,0
REC7104,Antiseptic,Vellore,Supplier-B,2025-02-09,386,278,325,2,1
REC7105,Antiseptic,Vellore,Supplier-A,2025-02-09,344,37,18,5,0
REC7106,Antiseptic,Vellore,Supplier-A,2025-02-09,96,203,207,17,1
REC7107,Antiseptic,Chennai,Supplier-B,2025-02-10,480,25,10,5,0
REC7108,Amoxicillin,Salem,Supplier-D,2025-02-10,489,165,160,15,1
REC7109,Insulin,Salem,Supplier-A,2025-02-10,55,5,130,11,0
REC7110,Insulin,Chennai,Supplier-D,2025-02-11,11,89,349,12,0
REC7111,Amoxicillin,Salem,Supplier-A,2025-02-11,306,98,258,7,0
REC7112,Antiseptic,Madurai,Supplier-B,2025-02-12,476,209,221,14,0
REC7113,Antiseptic,Chennai,Supplier-A,2025-02-12,293,180,325,14,0
REC7114,Iron Tablets,Erode,Supplier-C,2025-02-12,195,118,344,7,0
REC7115,Cough Syrup,Dindigul,Supplier-C,2025-02-13,316,8,146,9,0
REC7116,Iron Tablets,Dindigul,Supplier-B,2025-02-13,290,143,247,6,0
REC7117,ORS Packets,Trichy,Supplier-A,2025-02-13,485,97,322,12,0
REC7118,Cough Syrup,Erode,Supplier-A,2025-02-14,101,243,103,17,0
REC7119,ORS Packets,Coimbatore,Supplier-A,2025-02-14,347,196,28,4,0
REC7120,Insulin,Vellore,Supplier-D,2025-02-15,24,60,58,13,1
REC7121,Insulin,Erode,Supplier-D,2025-02-15,186,170,287,9,0
REC7122,Amoxicillin,Coimbatore,Supplier-A,2025-02-15,205,231,234,17,0
REC7123,Iron Tablets,Trichy,Supplier-D,2025-02-16,88,14,154,5,0
REC7124,Cough Syrup,Trichy,Supplier-B,2025-02-16,67,133,256,9,0
REC7125,Cough Syrup,Madurai,Supplier-C,2025-02-16,380,172,212,17,0
REC7126,ORS Packets,Salem,Supplier-B,2025-02-17,365,287,85,11,0
REC7127,ORS Packets,Chennai,Supplier-D,2025-02-17,485,98,193,16,0
REC7128,Antiseptic,Coimbatore,Supplier-D,2025-02-18,82,112,344,2,0
REC7129,Iron Tablets,Erode,Supplier-D,2025-02-18,297,197,301,4,0
REC7130,Metformin,Madurai,Supplier-B,2025-02-18,325,134,138,17,0
REC7131,ORS Packets,Vellore,Supplier-D,2025-02-19,61,10,98,7,0
REC7132,Antiseptic,Erode,Supplier-C,2025-02-19,230,299,165,3,1
REC7133,Paracetamol,Coimbatore,Supplier-A,2025-02-19,121,151,116,11,0
REC7134,ORS Packets,Madurai,Supplier-C,2025-02-20,66,59,243,12,1
REC7135,Iron Tablets,Dindigul,Supplier-C,2025-02-20,31,43,15,13,0
REC7136,Insulin,Chennai,Supplier-A,2025-02-21,406,264,187,13,0
REC7137,Antiseptic,Salem,Supplier-C,2025-02-21,8,87,12,18,1
REC7138,ORS Packets,Coimbatore,Supplier-D,2025-02-21,329,125,281,14,0
REC7139,Amoxicillin,Trichy,Supplier-D,2025-02-22,17,271,342,14,0
REC7140,Antiseptic,Trichy,Supplier-A,2025-02-22,454,17,216,3,0
REC7141,Antiseptic,Dindigul,Supplier-A,2025-02-22,479,192,50,4,0
REC7142,Iron Tablets,Vellore,Supplier-D,2025-02-23,24,91,227,15,0
REC7143,Iron Tablets,Madurai,Supplier-C,2025-02-23,321,166,245,4,0
REC7144,Paracetamol,Vellore,Supplier-B,2025-02-24,419,190,316,15,1
REC7145,Paracetamol,Trichy,Supplier-A,2025-02-24,343,80,90,17,0
REC7146,Paracetamol,Dindigul,Supplier-C,2025-02-24,403,284,85,19,0
REC7147,Cough Syrup,Trichy,Supplier-B,2025-02-25,56,107,343,15,1
REC7148,Metformin,Erode,Supplier-C,2025-02-25,355,75,281,16,0
REC7149,ORS Packets,Trichy,Supplier-A,2025-02-25,124,64,183,16,0
REC7150,Insulin,Erode,Supplier-A,2025-02-26,302,160,17,9,0
REC7151,Paracetamol,Dindigul,Supplier-C,2025-02-26,123,178,145,14,0
REC7152,Paracetamol,Vellore,Supplier-D,2025-02-27,471,222,190,9,0
REC7153,ORS Packets,Erode,Supplier-D,2025-02-27,447,160,165,6,1
REC7154,Paracetamol,Madurai,Supplier-D,2025-02-27,177,186,262,11,0
REC7155,Cough Syrup,Trichy,Supplier-D,2025-02-28,443,161,87,7,0
REC7156,Amoxicillin,Coimbatore,Supplier-D,2025-02-28,295,166,29,10,1
REC7157,Metformin,Chennai,Supplier-C,2025-02-28,154,84,316,11,0
REC7158,Paracetamol,Salem,Supplier-D,2025-03-01,355,82,237,17,1
REC7159,Paracetamol,Salem,Supplier-D,2025-03-01,170,121,182,11,0
REC7160,Insulin,Madurai,Supplier-A,2025-03-02,408,22,37,11,0
REC7161,ORS Packets,Madurai,Supplier-A,2025-03-02,65,127,161,14,1
REC7162,Amoxicillin,Erode,Supplier-A,2025-03-02,40,201,54,2,0
REC7163,Antiseptic,Vellore,Supplier-A,2025-03-03,145,213,347,5,0
REC7164,Paracetamol,Madurai,Supplier-D,2025-03-03,436,280,91,9,0
REC7165,Iron Tablets,Vellore,Supplier-D,2025-03-03,88,80,237,10,1
REC7166,Amoxicillin,Salem,Supplier-A,2025-03-04,206,45,339,11,0
REC7167,Metformin,Madurai,Supplier-B,2025-03-04,279,221,171,2,0
REC7168,Metformin,Salem,Supplier-D,2025-03-05,190,207,169,6,0
REC7169,Iron Tablets,Erode,Supplier-A,2025-03-05,128,41,219,19,0
REC7170,Metformin,Vellore,Supplier-B,2025-03-05,36,193,202,8,1
REC7171,Iron Tablets,Salem,Supplier-B,2025-03-06,421,260,83,7,0
REC7172,Cough Syrup,Chennai,Supplier-B,2025-03-06,73,64,159,10,0
REC7173,Metformin,Dindigul,Supplier-C,2025-03-06,128,84,156,19,0
REC7174,Insulin,Salem,Supplier-C,2025-03-07,153,294,12,13,0
REC7175,Amoxicillin,Coimbatore,Supplier-C,2025-03-07,79,133,117,12,0
REC7176,Insulin,Trichy,Supplier-A,2025-03-08,457,221,230,12,0
REC7177,Metformin,Dindigul,Supplier-D,2025-03-08,37,233,270,16,0
REC7178,Cough Syrup,Erode,Supplier-C,2025-03-08,130,156,103,2,0
REC7179,Paracetamol,Trichy,Supplier-C,2025-03-09,296,127,234,19,0
REC7180,Metformin,Salem,Supplier-C,2025-03-09,481,156,309,5,1
REC7181,Antiseptic,Coimbatore,Supplier-A,2025-03-09,422,105,214,5,0
REC7182,ORS Packets,Erode,Supplier-B,2025-03-10,166,239,342,3,0
REC7183,Antiseptic,Madurai,Supplier-C,2025-03-10,67,230,327,15,0
REC7184,Cough Syrup,Dindigul,Supplier-B,2025-03-11,458,64,127,12,0
REC7185,Metformin,Madurai,Supplier-D,2025-03-11,249,93,123,14,0
REC7186,Iron Tablets,Vellore,Supplier-A,2025-03-11,171,33,178,4,0
REC7187,Metformin,Erode,Supplier-C,2025-03-12,75,25,251,13,1
REC7188,ORS Packets,Trichy,Supplier-C,2025-03-12,142,53,317,13,0
REC7189,Iron Tablets,Dindigul,Supplier-D,2025-03-12,381,75,241,4,1
REC7190,Iron Tablets,Salem,Supplier-A,2025-03-13,183,213,283,18,0
REC7191,Cough Syrup,Chennai,Supplier-A,2025-03-13,116,268,334,16,1
REC7192,Antiseptic,Dindigul,Supplier-C,2025-03-14,252,17,136,5,0
REC7193,Metformin,Chennai,Supplier-C,2025-03-14,227,100,33,3,0
REC7194,Metformin,Dindigul,Supplier-A,2025-03-14,473,154,22,7,0
REC7195,Metformin,Coimbatore,Supplier-D,2025-03-15,308,75,228,5,0
REC7196,Cough Syrup,Salem,Supplier-A,2025-03-15,100,270,344,14,0
REC7197,Amoxicillin,Dindigul,Supplier-B,2025-03-15,327,143,319,11,0
REC7198,ORS Packets,Erode,Supplier-C,2025-03-16,258,203,125,3,1
REC7199,Cough Syrup,Coimbatore,Supplier-C,2025-03-16,423,189,267,11,0
REC7200,Cough Syrup,Dindigul,Supplier-D,2025-03-17,116,51,10,9,1
REC7201,Cough Syrup,Trichy,Supplier-D,2025-03-17,355,174,236,10,1
REC7202,Iron Tablets,Dindigul,Supplier-A,2025-03-17,36,85,43,3,0
REC7203,Iron Tablets,Chennai,Supplier-A,2025-03-18,54,82,263,12,0
REC7204,Iron Tablets,Chennai,Supplier-C,2025-03-18,452,130,226,4,0
REC7205,ORS Packets,Coimbatore,Supplier-D,2025-03-18,164,278,116,7,0
REC7206,ORS Packets,Trichy,Supplier-A,2025-03-19,258,99,240,11,1
REC7207,Metformin,Dindigul,Supplier-B,2025-03-19,338,288,215,15,0
REC7208,Insulin,Salem,Supplier-A,2025-03-20,236,249,147,8,0
REC7209,Cough Syrup,Chennai,Supplier-D,2025-03-20,214,181,68,19,0
REC7210,Iron Tablets,Salem,Supplier-B,2025-03-20,39,228,280,15,0
REC7211,Insulin,Chennai,Supplier-D,2025-03-21,242,191,268,6,0
REC7212,Insulin,Dindigul,Supplier-B,2025-03-21,223,91,250,18,0
REC7213,Amoxicillin,Chennai,Supplier-D,2025-03-21,179,46,330,16,0
REC7214,Amoxicillin,Trichy,Supplier-C,2025-03-22,128,65,176,13,0
REC7215,Metformin,Salem,Supplier-D,2025-03-22,301,28,274,7,0
REC7216,Iron Tablets,Salem,Supplier-B,2025-03-23,341,25,174,3,0
REC7217,ORS Packets,Vellore,Supplier-B,2025-03-23,45,233,161,7,0
REC7218,Amoxicillin,Madurai,Supplier-C,2025-03-23,70,84,205,13,0
REC7219,Antiseptic,Coimbatore,Supplier-C,2025-03-24,115,238,323,6,0
REC7220,Antiseptic,Chennai,Supplier-C,2025-03-24,76,227,61,18,0
REC7221,Cough Syrup,Madurai,Supplier-A,2025-03-24,188,242,52,12,0
REC7222,Amoxicillin,Salem,Supplier-C,2025-03-25,110,232,40,16,0
REC7223,Antiseptic,Coimbatore,Supplier-C,2025-03-25,144,203,269,2,0
REC7224,Paracetamol,Trichy,Supplier-A,2025-03-26,38,195,89,13,0
REC7225,Metformin,Vellore,Supplier-D,2025-03-26,451,223,150,15,0
REC7226,Iron Tablets,Erode,Supplier-B,2025-03-26,372,211,91,2,0
REC7227,Insulin,Salem,Supplier-D,2025-03-27,227,182,201,2,0
REC7228,Paracetamol,Erode,Supplier-D,2025-03-27,166,101,285,8,0
REC7229,Cough Syrup,Trichy,Supplier-D,2025-03-27,414,152,349,8,1
REC7230,Iron Tablets,Chennai,Supplier-A,2025-03-28,98,177,262,18,1
REC7231,Metformin,Trichy,Supplier-D,2025-03-28,85,14,195,18,0
REC7232,Paracetamol,Erode,Supplier-D,2025-03-29,372,189,212,12,0
REC7233,Cough Syrup,Chennai,Supplier-B,2025-03-29,248,223,324,18,1
REC7234,ORS Packets,Coimbatore,Supplier-C,2025-03-29,66,35,201,10,1
REC7235,Insulin,Coimbatore,Supplier-A,2025-03-30,208,78,75,14,1
REC7236,Metformin,Madurai,Supplier-B,2025-03-30,1,161,162,2,1
REC7237,Antiseptic,Coimbatore,Supplier-D,2025-03-30,319,155,309,3,0
REC7238,Antiseptic,Dindigul,Supplier-C,2025-03-31,455,107,80,19,0
REC7239,Iron Tablets,Salem,Supplier-D,2025-03-31,212,169,50,18,0
REC7240,Paracetamol,Coimbatore,Supplier-A,2025-04-01,280,196,130,6,0
REC7241,Amoxicillin,Trichy,Supplier-D,2025-04-01,408,248,113,12,0
REC7242,Iron Tablets,Chennai,Supplier-B,2025-04-01,38,107,264,10,1
REC7243,Paracetamol,Erode,Supplier-A,2025-04-02,276,247,13,5,0
REC7244,Antiseptic,Coimbatore,Supplier-C,2025-04-02,278,70,327,16,0
REC7245,ORS Packets,Vellore,Supplier-D,2025-04-02,129,137,265,6,0
REC7246,ORS Packets,Dindigul,Supplier-D,2025-04-03,12,84,100,6,0
REC7247,Antiseptic,Coimbatore,Supplier-A,2025-04-03,366,42,282,6,0
REC7248,Amoxicillin,Vellore,Supplier-D,2025-04-04,289,91,36,5,0
REC7249,Paracetamol,Chennai,Supplier-D,2025-04-04,109,181,95,18,0
REC7250,Cough Syrup,Vellore,Supplier-C,2025-04-04,492,48,107,6,0
REC7251,ORS Packets,Erode,Supplier-D,2025-04-05,214,80,319,7,0
REC7252,Amoxicillin,Erode,Supplier-B,2025-04-05,53,137,75,2,0
REC7253,Metformin,Dindigul,Supplier-D,2025-04-05,324,73,254,17,0
REC7254,Cough Syrup,Erode,Supplier-C,2025-04-06,164,262,33,19,0
REC7255,Antiseptic,Vellore,Supplier-A,2025-04-06,146,106,34,9,0
REC7256,Iron Tablets,Vellore,Supplier-D,2025-04-07,327,46,311,2,1
REC7257,Antiseptic,Salem,Supplier-A,2025-04-07,37,202,185,14,0
REC7258,Antiseptic,Trichy,Supplier-A,2025-04-07,21,276,14,3,0
REC7259,Metformin,Erode,Supplier-D,2025-04-08,262,168,256,9,0
REC7260,Paracetamol,Vellore,Supplier-C,2025-04-08,376,198,103,2,0
REC7261,Paracetamol,Vellore,Supplier-C,2025-04-08,363,77,336,3,0
REC7262,Iron Tablets,Trichy,Supplier-C,2025-04-09,362,281,196,4,0
REC7263,Iron Tablets,Coimbatore,Supplier-D,2025-04-09,411,288,53,2,1
REC7264,Paracetamol,Dindigul,Supplier-D,2025-04-10,411,234,301,6,1
REC7265,Iron Tablets,Coimbatore,Supplier-A,2025-04-10,410,174,203,13,0
REC7266,Iron Tablets,Coimbatore,Supplier-D,2025-04-10,358,139,203,14,0
REC7267,Insulin,Erode,Supplier-B,2025-04-11,407,246,123,8,1
REC7268,Iron Tablets,Madurai,Supplier-D,2025-04-11,0,233,331,6,0
REC7269,Paracetamol,Vellore,Supplier-D,2025-04-11,31,126,302,13,0
REC7270,Amoxicillin,Erode,Supplier-B,2025-04-12,187,22,213,16,0
REC7271,Amoxicillin,Coimbatore,Supplier-C,2025-04-12,375,241,208,16,0
REC7272,Cough Syrup,Erode,Supplier-D,2025-04-13,315,8,205,4,0
REC7273,Paracetamol,Trichy,Supplier-A,2025-04-13,96,44,238,16,1
REC7274,Metformin,Trichy,Supplier-A,2025-04-13,287,208,213,8,0
REC7275,Paracetamol,Coimbatore,Supplier-D,2025-04-14,479,292,257,8,1
REC7276,Metformin,Chennai,Supplier-B,2025-04-14,284,94,282,19,0
REC7277,Amoxicillin,Vellore,Supplier-D,2025-04-14,208,224,28,15,0
REC7278,Cough Syrup,Erode,Supplier-A,2025-04-15,55,1,42,15,0
REC7279,Amoxicillin,Salem,Supplier-C,2025-04-15,372,240,46,18,0
REC7280,Insulin,Trichy,Supplier-A,2025-04-16,256,63,116,10,0
REC7281,Paracetamol,Salem,Supplier-B,2025-04-16,223,271,174,17,0
REC7282,Paracetamol,Vellore,Supplier-D,2025-04-16,260,163,89,18,0
REC7283,Iron Tablets,Coimbatore,Supplier-D,2025-04-17,23,31,48,15,0
REC7284,Iron Tablets,Coimbatore,Supplier-B,2025-04-17,300,260,54,2,0
REC7285,Iron Tablets,Dindigul,Supplier-D,2025-04-17,60,120,55,17,0
REC7286,Antiseptic,Coimbatore,Supplier-A,2025-04-18,78,190,52,5,0
REC7287,Metformin,Dindigul,Supplier-A,2025-04-18,484,11,305,17,0
REC7288,Metformin,Chennai,Supplier-C,2025-04-19,451,231,84,5,0
REC7289,ORS Packets,Coimbatore,Supplier-B,2025-04-19,101,13,89,12,0
REC7290,Cough Syrup,Madurai,Supplier-C,2025-04-19,101,233,128,14,0
REC7291,Paracetamol,Erode,Supplier-A,2025-04-20,62,259,57,17,0
REC7292,Cough Syrup,Trichy,Supplier-C,2025-04-20,184,116,193,15,0
REC7293,Antiseptic,Erode,Supplier-D,2025-04-20,463,95,101,13,0
REC7294,Metformin,Coimbatore,Supplier-D,2025-04-21,264,152,220,4,0
REC7295,Metformin,Vellore,Supplier-D,2025-04-21,328,273,23,2,0
REC7296,Antiseptic,Coimbatore,Supplier-B,2025-04-22,224,6,188,16,1
REC7297,Amoxicillin,Vellore,Supplier-D,2025-04-22,327,177,329,8,0
REC7298,Cough Syrup,Erode,Supplier-A,2025-04-22,169,3,93,19,0
REC7299,Antiseptic,Salem,Supplier-A,2025-04-23,137,184,319,14,0
REC7300,Insulin,Salem,Supplier-B,2025-04-23,339,20,83,13,0
REC7301,Cough Syrup,Trichy,Supplier-A,2025-04-23,431,73,259,14,0
REC7302,Antiseptic,Vellore,Supplier-B,2025-04-24,131,280,53,2,0
REC7303,Insulin,Coimbatore,Supplier-A,2025-04-24,339,148,123,12,0
REC7304,ORS Packets,Madurai,Supplier-B,2025-04-25,319,176,74,9,0
REC7305,Metformin,Trichy,Supplier-D,2025-04-25,456,249,148,15,0
REC7306,Amoxicillin,Erode,Supplier-C,2025-04-25,242,6,49,9,0
REC7307,Amoxicillin,Vellore,Supplier-C,2025-04-26,317,146,151,13,0
REC7308,Insulin,Coimbatore,Supplier-D,2025-04-26,350,227,18,8,0
REC7309,Metformin,Dindigul,Supplier-D,2025-04-26,248,121,186,5,0
REC7310,Antiseptic,Trichy,Supplier-A,2025-04-27,390,16,330,7,1
REC7311,Antiseptic,Vellore,Supplier-C,2025-04-27,418,160,211,7,0
REC7312,Insulin,Dindigul,Supplier-D,2025-04-28,415,17,117,13,1
REC7313,Paracetamol,Trichy,Supplier-C,2025-04-28,386,279,233,14,0
REC7314,Paracetamol,Vellore,Supplier-D,2025-04-28,367,247,291,13,1
REC7315,Cough Syrup,Chennai,Supplier-D,2025-04-29,403,238,227,9,1
REC7316,Insulin,Dindigul,Supplier-B,2025-04-29,234,288,32,19,0
REC7317,Cough Syrup,Madurai,Supplier-C,2025-04-29,296,80,339,9,0
REC7318,ORS Packets,Madurai,Supplier-A,2025-04-30,79,227,337,4,0
REC7319,Antiseptic,Dindigul,Supplier-C,2025-04-30,34,245,73,9,0
REC7320,Iron Tablets,Madurai,Supplier-A,2025-05-01,482,257,128,15,0
REC7321,Antiseptic,Erode,Supplier-C,2025-05-01,98,119,286,17,0
REC7322,Metformin,Erode,Supplier-D,2025-05-01,422,147,243,3,1
REC7323,ORS Packets,Madurai,Supplier-B,2025-05-02,466,262,39,18,0
REC7324,Antiseptic,Chennai,Supplier-A,2025-05-02,179,253,85,10,0
REC7325,Cough Syrup,Vellore,Supplier-A,2025-05-02,289,235,69,2,0
REC7326,Iron Tablets,Trichy,Supplier-A,2025-05-03,371,48,54,6,0
REC7327,Amoxicillin,Coimbatore,Supplier-B,2025-05-03,62,174,157,3,0
REC7328,Cough Syrup,Chennai,Supplier-A,2025-05-04,260,153,333,2,1
REC7329,ORS Packets,Dindigul,Supplier-C,2025-05-04,234,101,294,14,0
REC7330,Amoxicillin,Vellore,Supplier-B,2025-05-04,289,105,259,4,0
REC7331,Paracetamol,Vellore,Supplier-A,2025-05-05,126,57,345,2,0
REC7332,Paracetamol,Madurai,Supplier-D,2025-05-05,219,28,145,9,0
REC7333,Insulin,Chennai,Supplier-C,2025-05-05,270,241,103,14,0
REC7334,Metformin,Coimbatore,Supplier-A,2025-05-06,470,114,328,8,0
REC7335,Metformin,Vellore,Supplier-B,2025-05-06,380,179,163,12,0
REC7336,Cough Syrup,Madurai,Supplier-A,2025-05-07,302,36,111,15,0
REC7337,Amoxicillin,Coimbatore,Supplier-D,2025-05-07,176,181,58,17,0
