transaction_id,account_id,transaction_date,merchant,category,amount,transaction_type,location
TXN20025,ACC1009,2025-01-05 04:00,Amazon,Transfer,1372.33,Debit,Coimbatore
TXN20026,ACC1014,2025-01-05 08:00,Fuel Station,Electronics,4293.72,Credit,Coimbatore
TXN20027,ACC1038,2025-01-05 12:00,Grocery Mart,Shopping,1273.16,Debit,Coimbatore
TXN20028,ACC1004,2025-01-05 16:00,Amazon,Bills,5003.47,Debit,Chennai
TXN20029,ACC1009,2025-01-05 20:00,Grocery Mart,Cash,2349.44,Credit,Chennai
TXN20030,ACC1023,2025-01-06 00:00,Grocery Mart,Groceries,1807.39,Debit,Bangalore
TXN20031,ACC1035,2025-01-06 04:00,Electronics Hub,Dining,970.11,Debit,Delhi
TXN20032,ACC1003,2025-01-06 08:00,Online Transfer,Groceries,3902.67,Debit,Hyderabad
TXN20033,ACC1008,2025-01-06 12:00,Electronics Hub,Shopping,3692.01,Debit,Mumbai
TXN20034,ACC1019,2025-01-06 16:00,Online Transfer,Shopping,578.04,Debit,Delhi
TXN20035,ACC1001,2025-01-06 20:00,Restaurant,Electronics,1690.39,Debit,Delhi
TXN20036,ACC1000,2025-01-07 00:00,Grocery Mart,Groceries,3943.64,Debit,Bangalore
TXN20037,ACC1016,2025-01-07 04:00,Grocery Mart,Cash,401.93,Debit,Hyderabad
TXN20038,ACC1031,2025-01-07 08:00,ATM Withdrawal,Electronics,845.11,Credit,Delhi
TXN20039,ACC1029,2025-01-07 12:00,Utility Bill,Groceries,3788.88,Credit,Coimbatore
TXN20040,ACC1028,2025-01-07 16:00,Fuel Station,Dining,2661.77,Credit,Mumbai
TXN20041,ACC1007,2025-01-07 20:00,Grocery Mart,Groceries,2538.94,Debit,Chennai
TXN20042,ACC1023,2025-01-08 00:00,Electronics Hub,Groceries,3027.55,Credit,Hyderabad
TXN20043,ACC1010,2025-01-08 04:00,Utility Bill,Dining,4139.86,Credit,Hyderabad
TXN20044,ACC1035,2025-01-08 08:00,Grocery Mart,Groceries,2034.65,Debit,Bangalore
TXN20045,ACC1000,2025-01-08 12:00,Grocery Mart,Bills,5546.81,Debit,Coimbatore
TXN20046,ACC1007,2025-01-08 16:00,Grocery Mart,Transfer,1612.59,Debit,Delhi
TXN20047,ACC1023,2025-01-08 20:00,Fuel Station,Electronics,348.76,Debit,Bangalore
TXN20048,ACC1028,2025-01-09 00:00,Online Transfer,Electronics,3328.35,Credit,Delhi
TXN20049,ACC1032,2025-01-09 04:00,Grocery Mart,Fuel,1151.99,Debit,Hyderabad
TXN20050,ACC1021,2025-01-09 08:00,ATM Withdrawal,Bills,857.78,Credit,Hyderabad
TXN20051,ACC1036,2025-01-09 12:00,Unknown Merchant,Cash,22086.316339619905,Credit,Hyderabad
TXN20052,ACC1035,2025-01-09 16:00,Electronics Hub,Groceries,1643.99,Debit,Chennai
TXN20053,ACC1033,2025-01-09 20:00,Utility Bill,Cash,2433.27,Debit,Hyderabad
TXN20054,ACC1003,2025-01-10 00:00,Online Transfer,Electronics,4920.95,Debit,Bangalore
TXN20055,ACC1027,2025-01-10 04:00,Fuel Station,Bills,466.75,Credit,Bangalore
TXN20056,ACC1033,2025-01-10 08:00,Unknown Merchant,Groceries,86968.98773254431,Debit,Coimbatore
TXN20057,ACC1019,2025-01-10 12:00,Utility Bill,Shopping,4560.65,Credit,Coimbatore
TXN20058,ACC1027,2025-01-10 16:00,Amazon,Bills,2414.3,Debit,Hyderabad
TXN20059,ACC1004,2025-01-10 20:00,Grocery Mart,Bills,4373.0,Debit,Bangalore
TXN20060,ACC1019,2025-01-11 00:00,Utility Bill,Cash,2154.66,Debit,Bangalore
TXN20061,ACC1033,2025-01-11 04:00,Amazon,Electronics,6238.57,Debit,Delhi
TXN20062,ACC1030,2025-01-11 08:00,Amazon,Shopping,3948.85,Debit,Hyderabad
TXN20063,ACC1037,2025-01-11 12:00,ATM Withdrawal,Dining,4831.62,Debit,Hyderabad
TXN20064,ACC1009,2025-01-11 16:00,Grocery Mart,Bills,2792.36,Debit,Hyderabad
TXN20065,ACC1029,2025-01-11 20:00,Online Transfer,Groceries,1903.65,Credit,Chennai
TXN20066,ACC1017,2025-01-12 00:00,Restaurant,Dining,4398.99,Debit,Delhi
TXN20067,ACC1031,2025-01-12 04:00,Restaurant,Shopping,2830.05,Debit,Hyderabad
TXN20068,ACC1002,2025-01-12 08:00,Restaurant,Shopping,2336.26,Credit,Chennai
TXN20069,ACC1019,2025-01-12 12:00,Fuel Station,Cash,9525.58,Debit,Chennai
TXN20070,ACC1018,2025-01-12 16:00,Utility Bill,Bills,751.11,Debit,Hyderabad
TXN20071,ACC1021,2025-01-12 20:00,Restaurant,Groceries,2155.71,Credit,Bangalore
TXN20072,ACC1003,2025-01-13 00:00,Utility Bill,Bills,1713.78,Debit,Delhi
TXN20073,ACC1011,2025-01-13 04:00,Grocery Mart,Groceries,3974.03,Debit,Mumbai
TXN20074,ACC1016,2025-01-13 08:00,Online Transfer,Fuel,1302.43,Credit,Chennai
TXN20075,ACC1012,2025-01-13 12:00,Electronics Hub,Groceries,291.32,Debit,Mumbai
TXN20076,ACC1029,2025-01-13 16:00,Amazon,Electronics,6736.4,Credit,Chennai
TXN20077,ACC1009,2025-01-13 20:00,Amazon,Electronics,863.58,Credit,Chennai
TXN20078,ACC1012,2025-01-14 00:00,Grocery Mart,Shopping,1474.64,Credit,Bangalore
TXN20079,ACC1003,2025-01-14 04:00,Utility Bill,Electronics,4685.64,Debit,Coimbatore
TXN20080,ACC1014,2025-01-14 08:00,Fuel Station,Fuel,1877.25,Debit,Coimbatore
TXN20081,ACC1020,2025-01-14 12:00,Amazon,Dining,3710.54,Credit,Delhi
TXN20082,ACC1015,2025-01-14 16:00,Grocery Mart,Cash,3305.78,Debit,Coimbatore
TXN20083,ACC1035,2025-01-14 20:00,Amazon,Dining,2509.37,Debit,Chennai
TXN20084,ACC1004,2025-01-15 00:00,Online Transfer,Electronics,4650.87,Debit,Bangalore
TXN20085,ACC1008,2025-01-15 04:00,Electronics Hub,Shopping,2751.13,Debit,Hyderabad
TXN20086,ACC1026,2025-01-15 08:00,Electronics Hub,Groceries,5794.02,Debit,Chennai
TXN20087,ACC1023,2025-01-15 12:00,Fuel Station,Fuel,2701.5,Debit,Hyderabad
TXN20088,ACC1013,2025-01-15 16:00,Electronics Hub,Cash,3237.83,Debit,Bangalore
TXN20089,ACC1039,2025-01-15 20:00,Fuel Station,Transfer,2456.09,Debit,Coimbatore
TXN20090,ACC1003,2025-01-16 00:00,Restaurant,Transfer,926.27,Debit,Chennai
TXN20091,ACC1029,2025-01-16 04:00,Fuel Station,Cash,590.83,Debit,Hyderabad
TXN20092,ACC1012,2025-01-16 08:00,Grocery Mart,Groceries,2727.11,Debit,Chennai
TXN20093,ACC1012,2025-01-16 12:00,Amazon,Groceries,1010.42,Debit,Chennai
TXN20094,ACC1015,2025-01-16 16:00,Grocery Mart,Groceries,408.42,Debit,Delhi
TXN20095,ACC1029,2025-01-16 20:00,Restaurant,Groceries,4829.71,Debit,Mumbai
TXN20096,ACC1008,2025-01-17 00:00,ATM Withdrawal,Fuel,4482.0,Debit,Delhi
TXN20097,ACC1038,2025-01-17 04:00,ATM Withdrawal,Groceries,12040.17,Debit,Hyderabad
TXN20098,ACC1006,2025-01-17 08:00,Amazon,Bills,1639.52,Debit,Coimbatore
TXN20099,ACC1021,2025-01-17 12:00,Utility Bill,Shopping,2433.44,Debit,Coimbatore
TXN20100,ACC1027,2025-01-17 16:00,Electronics Hub,Dining,2626.93,Debit,Bangalore
TXN20101,ACC1007,2025-01-17 20:00,Restaurant,Shopping,4825.72,Debit,Chennai
TXN20102,ACC1017,2025-01-18 00:00,Fuel Station,Shopping,3510.3,Credit,Bangalore
TXN20103,ACC1005,2025-01-18 04:00,Online Transfer,Cash,2134.38,Credit,Chennai
TXN20104,ACC1036,2025-01-18 08:00,Fuel Station,Bills,2841.41,Debit,Coimbatore
TXN20105,ACC1029,2025-01-18 12:00,Fuel Station,Dining,1749.96,Debit,Coimbatore
TXN20106,ACC1026,2025-01-18 16:00,Restaurant,Shopping,4016.59,Credit,Coimbatore
TXN20107,ACC1000,2025-01-18 20:00,Electronics Hub,Dining,1501.65,Credit,Hyderabad
TXN20108,ACC1022,2025-01-19 00:00,Fuel Station,Shopping,3762.18,Credit,Chennai
TXN20109,ACC1034,2025-01-19 04:00,Online Transfer,Groceries,782.91,Debit,Hyderabad
TXN20110,ACC1012,2025-01-19 08:00,ATM Withdrawal,Cash,3337.32,Debit,Hyderabad
TXN20111,ACC1006,2025-01-19 12:00,Restaurant,Groceries,1723.67,Credit,Mumbai
TXN20112,ACC1034,2025-01-19 16:00,Electronics Hub,Transfer,438.08,Credit,Coimbatore
TXN20113,ACC1029,2025-01-19 20:00,Grocery Mart,Dining,2658.02,Debit,Chennai
TXN20114,ACC1038,2025-01-20 00:00,Amazon,Cash,1046.66,Debit,Chennai
TXN20115,ACC1017,2025-01-20 04:00,Amazon,Dining,3128.14,Debit,Hyderabad
TXN20116,ACC1005,2025-01-20 08:00,Amazon,Transfer,6005.57,Debit,Hyderabad
TXN20117,ACC1015,2025-01-20 12:00,Unknown Merchant,Cash,31278.804035803674,Debit,Mumbai
TXN20118,ACC1012,2025-01-20 16:00,Amazon,Bills,1394.0,Debit,Mumbai
TXN20119,ACC1028,2025-01-20 20:00,Utility Bill,Bills,1360.98,Debit,Coimbatore
TXN20120,ACC1037,2025-01-21 00:00,ATM Withdrawal,Groceries,4220.27,Debit,Coimbatore
TXN20121,ACC1009,2025-01-21 04:00,Fuel Station,Cash,2230.68,Debit,Delhi
TXN20122,ACC1023,2025-01-21 08:00,Online Transfer,Dining,4692.66,Debit,Chennai
TXN20123,ACC1021,2025-01-21 12:00,Utility Bill,Transfer,2346.46,Debit,Delhi
TXN20124,ACC1004,2025-01-21 16:00,Electronics Hub,Groceries,1217.7,Debit,Mumbai
TXN20125,ACC1027,2025-01-21 20:00,Unknown Merchant,Bills,45790.37075591729,Debit,Chennai
TXN20126,ACC1012,2025-01-22 00:00,Grocery Mart,Cash,1986.18,Debit,Hyderabad
TXN20127,ACC1011,2025-01-22 04:00,Amazon,Shopping,2139.6,Debit,Mumbai
TXN20128,ACC1006,2025-01-22 08:00,Fuel Station,Cash,1493.68,Debit,Chennai
TXN20129,ACC1033,2025-01-22 12:00,Utility Bill,Shopping,2797.05,Debit,Delhi
TXN20130,ACC1021,2025-01-22 16:00,Grocery Mart,Transfer,4127.04,Debit,Chennai
TXN20131,ACC1021,2025-01-22 20:00,Amazon,Shopping,3417.46,Credit,Delhi
TXN20132,ACC1030,2025-01-23 00:00,Grocery Mart,Shopping,7846.23,Debit,Mumbai
TXN20133,ACC1028,2025-01-23 04:00,Utility Bill,Shopping,845.55,Debit,Mumbai
TXN20134,ACC1012,2025-01-23 08:00,Fuel Station,Dining,271.73,Debit,Hyderabad
TXN20135,ACC1012,2025-01-23 12:00,Fuel Station,Bills,4349.66,Debit,Mumbai
TXN20136,ACC1036,2025-01-23 16:00,Online Transfer,Electronics,6753.58,Debit,Coimbatore
TXN20137,ACC1007,2025-01-23 20:00,Utility Bill,Dining,1183.48,Debit,Hyderabad
TXN20138,ACC1021,2025-01-24 00:00,Grocery Mart,Dining,1085.85,Credit,Hyderabad
TXN20139,ACC1038,2025-01-24 04:00,Online Transfer,Bills,3054.62,Debit,Chennai
TXN20140,ACC1015,2025-01-24 08:00,Amazon,Cash,508.08,Debit,Mumbai
TXN20141,ACC1018,2025-01-24 12:00,Restaurant,Bills,2763.01,Credit,Chennai
TXN20142,ACC1028,2025-01-24 16:00,ATM Withdrawal,Dining,4938.92,Debit,Delhi
TXN20143,ACC1016,2025-01-24 20:00,Restaurant,Bills,4350.6,Credit,Coimbatore
TXN20144,ACC1005,2025-01-25 00:00,Restaurant,Transfer,7622.14,Debit,Bangalore
TXN20145,ACC1035,2025-01-25 04:00,Utility Bill,Bills,2606.61,Debit,Mumbai
TXN20146,ACC1013,2025-01-25 08:00,Amazon,Transfer,5011.27,Debit,Coimbatore
TXN20147,ACC1032,2025-01-25 12:00,ATM Withdrawal,Cash,1943.83,Debit,Hyderabad
TXN20148,ACC1023,2025-01-25 16:00,Restaurant,Dining,451.67,Debit,Coimbatore
TXN20149,ACC1031,2025-01-25 20:00,Online Transfer,Groceries,4612.47,Debit,Chennai
TXN20150,ACC1033,2025-01-26 00:00,ATM Withdrawal,Bills,1760.28,Debit,Hyderabad
TXN20151,ACC1027,2025-01-26 04:00,Grocery Mart,Electronics,1456.35,Debit,Delhi
TXN20152,ACC1014,2025-01-26 08:00,Fuel Station,Shopping,2519.97,Debit,Coimbatore
TXN20153,ACC1032,2025-01-26 12:00,Amazon,Bills,4491.7,Debit,Mumbai
TXN20154,ACC1034,2025-01-26 16:00,Online Transfer,Shopping,1575.68,Debit,Mumbai
TXN20155,ACC1031,2025-01-26 20:00,Fuel Station,Fuel,1408.77,Credit,Mumbai
TXN20156,ACC1038,2025-01-27 00:00,Online Transfer,Fuel,2023.85,Debit,Bangalore
TXN20157,ACC1018,2025-01-27 04:00,ATM Withdrawal,Cash,316.0,Debit,Hyderabad
TXN20158,ACC1009,2025-01-27 08:00,Electronics Hub,Transfer,1062.66,Debit,Delhi
TXN20159,ACC1009,2025-01-27 12:00,Unknown Merchant,Cash,67651.95238888357,Debit,Coimbatore
TXN20160,ACC1013,2025-01-27 16:00,Electronics Hub,Electronics,2345.54,Credit,Hyderabad
TXN20161,ACC1021,2025-01-27 20:00,Grocery Mart,Transfer,2435.09,Debit,Delhi
TXN20162,ACC1001,2025-01-28 00:00,ATM Withdrawal,Transfer,1102.58,Debit,Mumbai
TXN20163,ACC1031,2025-01-28 04:00,Utility Bill,Cash,2827.56,Debit,Hyderabad
TXN20164,ACC1014,2025-01-28 08:00,Amazon,Groceries,3251.95,Debit,Mumbai
TXN20165,ACC1016,2025-01-28 12:00,Fuel Station,Transfer,891.3,Debit,Delhi
TXN20166,ACC1025,2025-01-28 16:00,Restaurant,Groceries,1934.2,Credit,Delhi
TXN20167,ACC1033,2025-01-28 20:00,Amazon,Groceries,753.04,Credit,Delhi
TXN20168,ACC1021,2025-01-29 00:00,Utility Bill,Cash,3622.16,Debit,Mumbai
TXN20169,ACC1019,2025-01-29 04:00,Grocery Mart,Fuel,4808.04,Debit,Hyderabad
TXN20170,ACC1018,2025-01-29 08:00,Electronics Hub,Electronics,4032.29,Credit,Hyderabad
TXN20171,ACC1000,2025-01-29 12:00,Restaurant,Transfer,7017.92,Debit,Hyderabad
TXN20172,ACC1013,2025-01-29 16:00,Fuel Station,Bills,4591.22,Credit,Mumbai
TXN20173,ACC1010,2025-01-29 20:00,Amazon,Dining,6033.02,Debit,Coimbatore
TXN20174,ACC1027,2025-01-30 00:00,Grocery Mart,Bills,2975.65,Debit,Delhi
TXN20175,ACC1028,2025-01-30 04:00,Restaurant,Electronics,1720.93,Credit,Mumbai
TXN20176,ACC1008,2025-01-30 08:00,Fuel Station,Electronics,3440.89,Debit,Mumbai
TXN20177,ACC1033,2025-01-30 12:00,Online Transfer,Shopping,1374.78,Debit,Chennai
TXN20178,ACC1036,2025-01-30 16:00,Fuel Station,Bills,2002.41,Debit,Chennai
TXN20179,ACC1025,2025-01-30 20:00,Amazon,Electronics,3621.53,Credit,Bangalore
TXN20180,ACC1028,2025-01-31 00:00,Amazon,Shopping,5182.78,Credit,Bangalore
TXN20181,ACC1007,2025-01-31 04:00,Fuel Station,Dining,2365.76,Debit,Chennai
TXN20182,ACC1015,2025-01-31 08:00,Online Transfer,Shopping,5699.1,Debit,Mumbai
TXN20183,ACC1000,2025-01-31 12:00,Online Transfer,Cash,1118.2,Credit,Delhi
TXN20184,ACC1018,2025-01-31 16:00,Online Transfer,Transfer,3336.63,Debit,Bangalore
TXN20185,ACC1039,2025-01-31 20:00,Grocery Mart,Shopping,2256.84,Debit,Delhi
TXN20186,ACC1000,2025-02-01 00:00,Online Transfer,Cash,8656.45,Debit,Hyderabad
TXN20187,ACC1009,2025-02-01 04:00,ATM Withdrawal,Transfer,1211.5,Debit,Hyderabad
TXN20188,ACC1034,2025-02-01 08:00,Grocery Mart,Shopping,2658.51,Debit,Mumbai
TXN20189,ACC1005,2025-02-01 12:00,Utility Bill,Shopping,979.55,Debit,Chennai
TXN20190,ACC1021,2025-02-01 16:00,Grocery Mart,Cash,3514.42,Debit,Coimbatore
TXN20191,ACC1016,2025-02-01 20:00,Restaurant,Electronics,1660.62,Debit,Bangalore
TXN20192,ACC1011,2025-02-02 00:00,Utility Bill,Fuel,328.26,Debit,Mumbai
TXN20193,ACC1032,2025-02-02 04:00,Amazon,Fuel,2530.25,Debit,Coimbatore
TXN20194,ACC1036,2025-02-02 08:00,Grocery Mart,Groceries,4263.29,Credit,Delhi
TXN20195,ACC1005,2025-02-02 12:00,Online Transfer,Dining,719.75,Debit,Chennai
TXN20196,ACC1028,2025-02-02 16:00,Online Transfer,Bills,5735.8,Debit,Coimbatore
TXN20197,ACC1029,2025-02-02 20:00,Fuel Station,Groceries,2128.81,Debit,Coimbatore
TXN20198,ACC1031,2025-02-03 00:00,Grocery Mart,Fuel,6392.59,Debit,Coimbatore
TXN20199,ACC1007,2025-02-03 04:00,Electronics Hub,Groceries,726.62,Debit,Chennai
TXN20200,ACC1028,2025-02-03 08:00,Unknown Merchant,Dining,3435.6054976873543,Debit,Hyderabad
TXN20201,ACC1014,2025-02-03 12:00,ATM Withdrawal,Fuel,2787.19,Debit,Hyderabad
TXN20202,ACC1013,2025-02-03 16:00,Online Transfer,Bills,768.9,Debit,Delhi
TXN20203,ACC1019,2025-02-03 20:00,Fuel Station,Shopping,3234.38,Credit,Chennai
TXN20204,ACC1013,2025-02-04 00:00,Amazon,Cash,2938.81,Credit,Delhi
TXN20205,ACC1024,2025-02-04 04:00,Utility Bill,Fuel,2929.31,Debit,Mumbai
TXN20206,ACC1003,2025-02-04 08:00,Grocery Mart,Groceries,2422.61,Debit,Coimbatore
TXN20207,ACC1007,2025-02-04 12:00,Utility Bill,Shopping,1077.49,Debit,Hyderabad
TXN20208,ACC1032,2025-02-04 16:00,Amazon,Fuel,2439.61,Debit,Delhi
TXN20209,ACC1033,2025-02-04 20:00,Online Transfer,Shopping,759.61,Debit,Bangalore
TXN20210,ACC1011,2025-02-05 00:00,Online Transfer,Cash,627.56,Debit,Delhi
TXN20211,ACC1027,2025-02-05 04:00,Amazon,Bills,4070.49,Credit,Bangalore
TXN20212,ACC1004,2025-02-05 08:00,Online Transfer,Shopping,6048.41,Debit,Delhi
TXN20213,ACC1038,2025-02-05 12:00,Amazon,Groceries,2615.86,Debit,Coimbatore
TXN20214,ACC1031,2025-02-05 16:00,Electronics Hub,Bills,930.34,Debit,Bangalore
TXN20215,ACC1030,2025-02-05 20:00,Utility Bill,Bills,1843.13,Debit,Coimbatore
TXN20216,ACC1014,2025-02-06 00:00,Electronics Hub,Dining,6554.34,Credit,Delhi
TXN20217,ACC1012,2025-02-06 04:00,Electronics Hub,Fuel,836.54,Credit,Chennai
TXN20218,ACC1016,2025-02-06 08:00,Fuel Station,Fuel,2479.28,Debit,Chennai
TXN20219,ACC1026,2025-02-06 12:00,Amazon,Groceries,5036.64,Debit,Chennai
TXN20220,ACC1032,2025-02-06 16:00,Restaurant,Transfer,527.66,Credit,Coimbatore
TXN20221,ACC1033,2025-02-06 20:00,Amazon,Transfer,3508.39,Debit,Coimbatore
TXN20222,ACC1008,2025-02-07 00:00,Electronics Hub,Electronics,3216.83,Debit,Coimbatore
TXN20223,ACC1030,2025-02-07 04:00,Amazon,Bills,2830.74,Debit,Chennai
TXN20224,ACC1033,2025-02-07 08:00,Utility Bill,Fuel,754.06,Debit,Hyderabad
TXN20225,ACC1015,2025-02-07 12:00,Fuel Station,Groceries,4939.84,Debit,Hyderabad
TXN20226,ACC1022,2025-02-07 16:00,Utility Bill,Cash,4631.67,Debit,Coimbatore
TXN20227,ACC1034,2025-02-07 20:00,Fuel Station,Electronics,2540.03,Debit,Bangalore
TXN20228,ACC1012,2025-02-08 00:00,Amazon,Cash,2348.29,Debit,Bangalore
TXN20229,ACC1004,2025-02-08 04:00,Grocery Mart,Cash,3690.2,Debit,Coimbatore
TXN20230,ACC1020,2025-02-08 08:00,ATM Withdrawal,Transfer,440.34,Credit,Coimbatore
TXN20231,ACC1018,2025-02-08 12:00,ATM Withdrawal,Shopping,2381.09,Debit,Chennai
TXN20232,ACC1021,2025-02-08 16:00,Utility Bill,Transfer,4949.79,Debit,Mumbai
TXN20233,ACC1022,2025-02-08 20:00,Restaurant,Cash,4093.54,Debit,Coimbatore
TXN20234,ACC1018,2025-02-09 00:00,Restaurant,Electronics,2464.06,Debit,Coimbatore
TXN20235,ACC1005,2025-02-09 04:00,Grocery Mart,Fuel,3911.81,Credit,Chennai
TXN20236,ACC1039,2025-02-09 08:00,Utility Bill,Cash,4545.53,Debit,Mumbai
TXN20237,ACC1005,2025-02-09 12:00,Online Transfer,Shopping,583.04,Credit,Coimbatore
TXN20238,ACC1005,2025-02-09 16:00,Restaurant,Electronics,4589.2,Debit,Bangalore
TXN20239,ACC1006,2025-02-09 20:00,Grocery Mart,Bills,2010.33,Debit,Delhi
TXN20240,ACC1031,2025-02-10 00:00,Online Transfer,Bills,2726.56,Debit,Chennai
TXN20241,ACC1029,2025-02-10 04:00,Utility Bill,Cash,255.04,Debit,Coimbatore
TXN20242,ACC1016,2025-02-10 08:00,Fuel Station,Groceries,2114.9,Credit,Coimbatore
TXN20243,ACC1004,2025-02-10 12:00,Online Transfer,Electronics,3210.58,Debit,Delhi
TXN20244,ACC1038,2025-02-10 16:00,Online Transfer,Groceries,2232.62,Debit,Coimbatore
TXN20245,ACC1013,2025-02-10 20:00,Utility Bill,Bills,7315.82,Debit,Hyderabad
TXN20246,ACC1002,2025-02-11 00:00,Amazon,Shopping,1412.1,Credit,Bangalore
TXN20247,ACC1012,2025-02-11 04:00,Grocery Mart,Bills,5684.27,Debit,Bangalore
TXN20248,ACC1024,2025-02-11 08:00,Online Transfer,Transfer,2934.38,Debit,Coimbatore
TXN20249,ACC1027,2025-02-11 12:00,ATM Withdrawal,Bills,1112.46,Debit,Chennai
TXN20250,ACC1016,2025-02-11 16:00,Online Transfer,Cash,3852.2,Debit,Bangalore
TXN20251,ACC1005,2025-02-11 20:00,Fuel Station,Cash,4623.83,Debit,Bangalore
TXN20252,ACC1029,2025-02-12 00:00,Electronics Hub,Transfer,2628.44,Credit,Hyderabad
TXN20253,ACC1009,2025-02-12 04:00,Amazon,Shopping,1391.05,Debit,Chennai
TXN20254,ACC1039,2025-02-12 08:00,Amazon,Electronics,1060.5,Credit,Mumbai
TXN20255,ACC1014,2025-02-12 12:00,ATM Withdrawal,Cash,5238.65,Debit,Coimbatore
TXN20256,ACC1006,2025-02-12 16:00,ATM Withdrawal,Transfer,1114.9,Debit,Bangalore
TXN20257,ACC1002,2025-02-12 20:00,Utility Bill,Dining,3691.28,Debit,Delhi
TXN20258,ACC1037,2025-02-13 00:00,Grocery Mart,Fuel,3178.89,Credit,Delhi
TXN20259,ACC1022,2025-02-13 04:00,Grocery Mart,Dining,1994.6,Debit,Hyderabad
TXN20260,ACC1009,2025-02-13 08:00,ATM Withdrawal,Fuel,466.15,Debit,Chennai
TXN20261,ACC1035,2025-02-13 12:00,Amazon,Shopping,3591.83,Credit,Bangalore
TXN20262,ACC1015,2025-02-13 16:00,Amazon,Fuel,3032.98,Debit,Bangalore
TXN20263,ACC1020,2025-02-13 20:00,Grocery Mart,Cash,268.47,Debit,Chennai
TXN20264,ACC1032,2025-02-14 00:00,Grocery Mart,Transfer,1696.68,Debit,Mumbai
TXN20265,ACC1035,2025-02-14 04:00,Restaurant,Transfer,4341.01,Debit,Bangalore
TXN20266,ACC1021,2025-02-14 08:00,Amazon,Bills,1866.84,Credit,Hyderabad
TXN20267,ACC1006,2025-02-14 12:00,Online Transfer,Cash,7043.23,Debit,Bangalore
TXN20268,ACC1020,2025-02-14 16:00,Utility Bill,Transfer,3596.29,Debit,Mumbai
TXN20269,ACC1000,2025-02-14 20:00,Fuel Station,Shopping,4096.26,Debit,Coimbatore
TXN20270,ACC1020,2025-02-15 00:00,Fuel Station,Dining,1381.26,Debit,Bangalore
TXN20271,ACC1033,2025-02-15 04:00,Grocery Mart,Dining,2712.57,Credit,Hyderabad
TXN20272,ACC1021,2025-02-15 08:00,Electronics Hub,Shopping,4367.04,Debit,Coimbatore
TXN20273,ACC1002,2025-02-15 12:00,Fuel Station,Fuel,3246.63,Debit,Bangalore
TXN20274,ACC1011,2025-02-15 16:00,Electronics Hub,Groceries,1049.64,Credit,Coimbatore
TXN20275,ACC1011,2025-02-15 20:00,ATM Withdrawal,Bills,3286.29,Debit,Hyderabad
TXN20276,ACC1036,2025-02-16 00:00,ATM Withdrawal,Fuel,4122.44,Credit,Bangalore
TXN20277,ACC1008,2025-02-16 04:00,Fuel Station,Cash,1770.76,Debit,Bangalore
TXN20278,ACC1007,2025-02-16 08:00,Amazon,Electronics,2445.38,Debit,Mumbai
TXN20279,ACC1007,2025-02-16 12:00,Amazon,Shopping,6594.06,Debit,Coimbatore
